date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goals_scored,goals_conceded,opponent,home_advantage,avg_goals_scored_5,avg_goals_conceded_5,goal_difference_5,home_advantage_5,adjusted_goal_difference_5
2022-01-10,Morocco,Ghana,1.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True,1.0,0.0,Ghana,1,,,,,
2022-01-14,Morocco,Comoros,2.0,0.0,African Cup of Nations,Yaoundé,Cameroon,True,2.0,0.0,Comoros,1,,,,,
2022-01-18,Gabon,Morocco,2.0,2.0,African Cup of Nations,Yaoundé,Cameroon,True,2.0,2.0,Gabon,0,,,,,
2022-01-25,Morocco,Malawi,2.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True,2.0,1.0,Malawi,1,,,,,
2022-01-30,Egypt,Morocco,2.0,1.0,African Cup of Nations,Yaoundé,Cameroon,True,1.0,2.0,Egypt,0,,,,,
2022-03-25,DR Congo,Morocco,1.0,1.0,FIFA World Cup qualification,Kinshasa,DR Congo,False,1.0,1.0,DR Congo,0,1.6,1.0,0.6000000000000001,0.6,0.6360000000000001
2022-03-29,Morocco,DR Congo,4.0,1.0,FIFA World Cup qualification,Casablanca,Morocco,False,4.0,1.0,DR Congo,1,1.6,1.2,0.40000000000000013,0.4,0.41600000000000015
2022-06-01,United States,Morocco,3.0,0.0,Friendly,Cincinnati,United States,False,0.0,3.0,United States,0,2.0,1.4,0.6000000000000001,0.4,0.6240000000000001
2022-06-09,Morocco,South Africa,2.0,1.0,African Cup of Nations qualification,Rabat,Morocco,False,2.0,1.0,South Africa,1,1.6,1.6,0.0,0.4,0.0
2022-06-13,Morocco,Liberia,2.0,0.0,African Cup of Nations qualification,Casablanca,Morocco,False,2.0,0.0,Liberia,1,1.6,1.6,0.0,0.4,0.0
2022-09-23,Morocco,Chile,2.0,0.0,Friendly,Barcelona,Spain,True,2.0,0.0,Chile,1,1.8,1.2,0.6000000000000001,0.6,0.6360000000000001
2022-09-27,Paraguay,Morocco,0.0,0.0,Friendly,Seville,Spain,True,0.0,0.0,Paraguay,0,2.0,1.0,1.0,0.8,1.08
2022-11-17,Morocco,Georgia,3.0,0.0,Friendly,Sharjah,United Arab Emirates,True,3.0,0.0,Georgia,1,1.2,0.8,0.3999999999999999,0.6,0.42399999999999993
2022-11-23,Morocco,Croatia,0.0,0.0,FIFA World Cup,Al Khor,Qatar,True,0.0,0.0,Croatia,1,1.8,0.2,1.6,0.8,1.7280000000000002
2022-11-27,Belgium,Morocco,0.0,2.0,FIFA World Cup,Doha,Qatar,True,2.0,0.0,Belgium,0,1.4,0.0,1.4,0.8,1.512
2022-12-01,Canada,Morocco,1.0,2.0,FIFA World Cup,Doha,Qatar,True,2.0,1.0,Canada,0,1.4,0.0,1.4,0.6,1.484
2022-12-06,Morocco,Spain,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,0.0,0.0,Spain,1,1.4,0.2,1.2,0.4,1.248
2022-12-10,Morocco,Portugal,1.0,0.0,FIFA World Cup,Doha,Qatar,True,1.0,0.0,Portugal,1,1.4,0.2,1.2,0.6,1.272
2022-12-14,France,Morocco,2.0,0.0,FIFA World Cup,Al Khor,Qatar,True,0.0,2.0,France,0,1.0,0.2,0.8,0.6,0.8480000000000001
2022-12-17,Croatia,Morocco,2.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,1.0,2.0,Croatia,0,1.0,0.6,0.4,0.4,0.41600000000000004
2023-03-25,Morocco,Brazil,2.0,1.0,Friendly,Tangier,Morocco,False,2.0,1.0,Brazil,1,0.8,1.0,-0.19999999999999996,0.4,-0.20799999999999996
2023-03-28,Morocco,Peru,0.0,0.0,Friendly,Madrid,Spain,True,0.0,0.0,Peru,1,0.8,1.0,-0.19999999999999996,0.6,-0.21199999999999997
2023-06-12,Morocco,Cape Verde,0.0,0.0,Friendly,Rabat,Morocco,False,0.0,0.0,Cape Verde,1,0.8,1.0,-0.19999999999999996,0.6,-0.21199999999999997
2023-06-17,South Africa,Morocco,2.0,1.0,African Cup of Nations qualification,Johannesburg,South Africa,False,1.0,2.0,South Africa,0,0.6,1.0,-0.4,0.6,-0.42400000000000004
2023-09-12,Morocco,Burkina Faso,1.0,0.0,Friendly,Lens,France,True,1.0,0.0,Burkina Faso,1,0.8,1.0,-0.19999999999999996,0.6,-0.21199999999999997
2023-10-14,Ivory Coast,Morocco,1.0,1.0,Friendly,Abidjan,Ivory Coast,False,1.0,1.0,Ivory Coast,0,0.8,0.6,0.20000000000000007,0.8,0.21600000000000008
