date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goals_scored,goals_conceded,opponent,home_advantage,avg_goals_scored_5,avg_goals_conceded_5,goal_difference_5,home_advantage_5,adjusted_goal_difference_5,fifa_rank_morocco,fifa_rank_opponent,ranking_difference,competition_type,opponent_strength_level,result,goal_difference,result_numeric,wins_last5,form_score,attack_index,defense_index
1958-04-03,Morocco,Libya,3.0,1.0,Friendly,Casablanca,Morocco,False,3.0,1.0,Libya,1,,,,,,1736.57,1500.0,236.56999999999994,Friendly,weak,Win,2.0,1,,,,
1960-01-01,Morocco,Yugoslavia,0.0,5.0,Friendly,Casablanca,Morocco,False,0.0,5.0,Yugoslavia,1,,,,,,1736.57,1500.0,236.56999999999994,Friendly,weak,Loss,-5.0,0,,,,
1960-10-30,Morocco,Tunisia,2.0,1.0,FIFA World Cup qualification,Casablanca,Morocco,False,2.0,1.0,Tunisia,1,,,,,,1736.57,1500.0,236.56999999999994,Friendly,weak,Win,1.0,1,,,,
1960-11-13,Tunisia,Morocco,2.0,1.0,FIFA World Cup qualification,Tunis,Tunisia,False,1.0,2.0,Tunisia,0,,,,,,1736.57,1500.0,236.56999999999994,Friendly,weak,Loss,-1.0,0,,,,
1960-12-11,Morocco,German DR,2.0,3.0,Friendly,Casablanca,Morocco,False,2.0,3.0,German DR,1,,,,,,1736.57,1500.0,236.56999999999994,Friendly,weak,Loss,-1.0,0,,,,
1961-01-22,Morocco,Tunisia,1.0,1.0,FIFA World Cup qualification,Palermo,Italy,True,1.0,1.0,Tunisia,1,1.6,2.4,-0.7999999999999998,0.8,-0.8639999999999999,1736.57,1500.0,236.56999999999994,Friendly,weak,Draw,0.0,0,2.0,0.4,1.6,2.4
1961-04-02,Ghana,Morocco,0.0,0.0,FIFA World Cup qualification,Accra,Ghana,False,0.0,0.0,Ghana,0,1.2,2.4,-1.2,0.8,-1.296,1736.57,1500.0,236.56999999999994,Friendly,weak,Draw,0.0,0,1.0,0.2,1.2,2.4
1961-05-28,Morocco,Ghana,1.0,0.0,FIFA World Cup qualification,Casablanca,Morocco,False,1.0,0.0,Ghana,1,1.2,1.4,-0.1999999999999999,0.6,-0.2119999999999999,1736.57,1500.0,236.56999999999994,Friendly,weak,Win,1.0,1,1.0,0.2,1.2,1.4
1961-06-18,Yugoslavia,Morocco,3.0,2.0,Friendly,Belgrade,Yugoslavia,False,2.0,3.0,Yugoslavia,0,1.0,1.2,-0.1999999999999999,0.6,-0.2119999999999999,1736.57,1500.0,236.56999999999994,Friendly,weak,Loss,-1.0,0,1.0,0.2,1.0,1.2
1961-06-21,German DR,Morocco,1.0,2.0,Friendly,Erfurt,German DR,False,2.0,1.0,German DR,0,1.2,1.4,-0.1999999999999999,0.6,-0.2119999999999999,1736.57,1500.0,236.56999999999994,Friendly,weak,Win,1.0,1,1.0,0.2,1.2,1.4
1961-11-12,Morocco,Spain,0.0,1.0,FIFA World Cup qualification,Casablanca,Morocco,False,0.0,1.0,Spain,1,1.2,1.0,0.1999999999999999,0.4,0.2079999999999999,1736.57,1877.18,-140.61000000000013,Friendly,strong,Loss,-1.0,0,2.0,0.4,1.2,1.0
1961-11-23,Spain,Morocco,3.0,2.0,FIFA World Cup qualification,Madrid,Spain,False,2.0,3.0,Spain,0,1.0,1.0,0.0,0.4,0.0,1736.57,1877.18,-140.61000000000013,Friendly,strong,Loss,-1.0,0,2.0,0.4,1.0,1.0
1961-12-10,Morocco,German DR,2.0,0.0,Friendly,Casablanca,Morocco,False,2.0,0.0,German DR,1,1.4,1.6,-0.2000000000000001,0.4,-0.2080000000000001,1736.57,1500.0,236.56999999999994,Friendly,weak,Win,2.0,1,2.0,0.4,1.4,1.6
